Date,Close
1999/12/1,11497.12
2000/1/3,10940.53
2000/2/1,10128.31
2000/3/1,10921.92
2000/4/3,10733.91
2000/5/1,10522.33
2000/6/1,10447.89
2000/7/3,10521.98
2000/8/1,11215.1
2000/9/1,10650.92
2000/10/2,10971.14
2000/11/1,10414.49
2000/12/1,10787.99
2001/1/2,10887.36
2001/2/1,10495.28
2001/3/1,9878.78
2001/4/2,10734.97
2001/5/1,10911.94
2001/6/1,10502.4
2001/7/2,10522.81
2001/8/1,9949.75
2001/9/4,8847.56
2001/10/1,9075.14
2001/11/1,9851.56
2001/12/3,10021.57
2002/1/2,9920
2002/2/1,10106.13
2002/3/1,10403.94
2002/4/1,9946.22
2002/5/1,9925.25
2002/6/3,9243.26
2002/7/1,8736.59
2002/8/1,8663.5
2002/9/3,7591.93
2002/10/1,8397.03
2002/11/1,8896.09
2002/12/2,8341.63
2003/1/2,8053.81
2003/2/3,7891.08
2003/3/3,7992.13
2003/4/1,8480.09
2003/5/1,8850.26
2003/6/2,8985.44
2003/7/1,9233.8
2003/8/1,9415.82
2003/9/2,9275.06
2003/10/1,9801.12
2003/11/3,9782.46
2003/12/1,10453.92
2004/1/2,10488.07
2004/2/2,10583.92
2004/3/1,10357.7
2004/3/31,10357.7
2004/4/1,10225.57
2004/5/3,10188.45
2004/6/1,10435.48
2004/7/1,10139.71
2004/8/2,10173.92
2004/9/1,10080.27
2004/10/1,10027.47
2004/11/1,10428.02
2004/12/1,10783.01
2005/1/3,10489.94
2005/2/1,10766.23
2005/3/1,10503.76
2005/4/1,10192.51
2005/5/2,10467.48
2005/6/1,10274.97
2005/7/1,10640.91
2005/8/1,10481.6
2005/9/1,10568.7
2005/10/3,10440.07
2005/11/1,10805.87
2005/12/1,10717.5
2006/1/3,10864.86
2006/2/1,10993.41
2006/3/1,11109.32
2006/4/3,11367.14
2006/5/1,11168.31
2006/6/1,11150.22
2006/7/3,11185.68
2006/8/1,11381.15
2006/9/1,11679.07
2006/10/2,12080.73
2006/11/1,12221.93
2006/12/1,12463.15
2007/1/3,12621.69
2007/2/1,12268.63
2007/3/1,12354.35
2007/4/2,13062.91
2007/5/1,13627.64
2007/6/1,13408.62
2007/7/2,13211.99
2007/8/1,13357.74
2007/9/4,13895.63
2007/10/1,13930.01
2007/11/1,13371.72
2007/12/3,13264.82
2008/1/2,12650.36
2008/2/1,12266.39
2008/3/3,12262.89
2008/4/1,12820.13
2008/5/1,12638.32
2008/6/2,11350.01
2008/7/1,11378.02
2008/8/1,11543.96
2008/9/2,10850.66
2008/10/1,9325.01
2008/11/3,8829.04
2008/12/1,8776.39
2009/1/2,8000.86
2009/2/2,7062.93
2009/3/2,7608.92
2009/4/1,8168.12
2009/5/1,8500.33
2009/6/1,8447
2009/7/1,9171.61
2009/8/3,9496.28
2009/9/1,9712.28
2009/9/30,9712.28
2009/10/1,9712.73
2009/11/2,10344.84
2009/12/1,10428.05
2010/1/4,10067.33
2010/2/1,10325.26
2010/3/1,10856.63
2010/4/1,11008.61
2010/5/3,10136.63
2010/6/1,9774.02
2010/7/1,10465.94
2010/8/2,10014.72
2010/9/1,10788.05
2010/10/1,11118.49
2010/11/1,11006.02
2010/12/1,11577.51
2011/1/3,11891.93
2011/2/1,12226.34
2011/3/1,12319.73
2011/4/1,12810.54
2011/5/2,12569.79
2011/6/1,12414.34
2011/7/1,12143.24
2011/8/1,11613.53
2011/9/1,10913.38
2011/10/3,11955.01
2011/11/1,12045.68
2011/12/1,12217.56
2012/1/3,12632.91
2012/2/1,12952.07
2012/3/1,13212.04
2012/4/2,13213.63
2012/5/1,12393.45
2012/6/1,12880.09
2012/7/2,13008.68
2012/8/1,13090.84
2012/9/4,13437.13
2012/10/1,13096.46
2012/11/1,13025.58
2012/12/3,13104.14
2013/1/2,13860.58
2013/2/1,14054.49
2013/3/1,14578.54
2013/4/1,14839.8
2013/5/1,15115.57
2013/6/3,14909.6
2013/7/1,15499.54
2013/8/1,14810.31
2013/9/3,15129.67
2013/10/1,15545.75
2013/11/1,16086.41
2013/12/2,16576.66
2014/1/2,15698.85
2014/2/3,16321.71
2014/3/3,16457.66
2014/4/1,16580.84
2014/5/1,16717.17
2014/6/2,16826.6
2014/7/1,16563.3
2014/8/1,17098.45
2014/9/2,17042.9
2014/10/1,17390.52
2014/11/3,17828.24
2014/12/1,17823.07
